	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
13	5281800	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O	FBSKJMQYURKNSU-ZLSOWSIRSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
14	5282152	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O	C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	SHPPXMGVUDNKLV-KMFFXDMSSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
15	11294177	COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O	COc1cc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)ccc1O	GAMYVSCDDLXAQW-MIUGBVLSSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
16	12304093	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O	O=c1cc(-c2ccc(O)cc2)oc2cc(OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12	KMOUJOKENFFTPU-MKJMBMEGSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
17	442664	C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O	O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	FIAAVMJLAGNUKW-VQVVXJKKSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
18	5281778	C1=CC(=C(C=C1/C=C/C(=O)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)OC[C@H](C4=CC(=C(C=C4)O)O)O)CO)O)O	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1[C@@H](CO)O[C@@H](OC[C@@H](O)c2ccc(O)c(O)c2)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	IKASMYQBXBUEQS-AEAUTZEXSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
19	10009317	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCC(C4=CC(=C(C=C4)O)O)O)O)O)O)O	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCC(O)c3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O	XDAXWJHQKZRSEY-XHJPSFMXSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
20	12309272	C1=CC(=C(C=C1C2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)[C@H]1O	CXQWRCVTCMQVQX-MLCCFXAWSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
21	5490298	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O	O=c1cc(-c2ccc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12	BISZYPSIZGKOFA-IPOZFMEPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
22	6476723	C/C=C\1/[C@@H](C(=CO[C@H]1OC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)OC)CC(=O)OCC3[C@@H]([C@H]([C@@H]([C@H](O3)OCCC4=CC(=C(C=C4)O)O)O)O)O	C/C=C1\[C@H](OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCC1O[C@H](OCCc2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O	IQOYABZSYGZAAQ-XHQMDLIKSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
