	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
22	CHEMBL4205136	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCC5(CC5)C4)cc3n2)o1	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCC5(CC5)C4)cc3n2)o1	BBJDFTWFOONSLK-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
23	CHEMBL4203933	CCc1ccc(-c2cc(NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	CCc1ccc(-c2cc(NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	KJOYGBHVQOPLES-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
24	CHEMBL4171233	COc1cc2c(NC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	SKDSVUVJPWHTOI-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
25	CHEMBL4159597	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)s3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)s3)nc2cc1OCCCN1CCCC1	YNEOJEHDXDSCBD-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
26	CHEMBL4160008	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	WXSNAPMHXWGVRQ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
27	CHEMBL4170225	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)[nH]3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)[nH]3)nc2cc1OCCCN1CCCC1	WOXWYMQYSSZYNQ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
29	CHEMBL4207331	COc1cc2c(NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	KXENQCUVSMIIGA-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
30	CHEMBL4205373	COc1cc2c(NC3CC4CCC(C3)N4C)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CC4CCC(C3)N4C)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	UNRCZHRRDXQTEH-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
31	CHEMBL4210033	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCCC4)cc3n2)o1	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCCC4)cc3n2)o1	HXTSAISPABOHHN-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
32	CHEMBL4204903	COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	ALFOHAANLRVWSN-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
33	CHEMBL4216663	COc1cc2c(NCC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NCC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	UOHZNWFNUIYUCY-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
34	CHEMBL4176464	CCc1ccc(-c2cc(NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	CCc1ccc(-c2cc(NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	DATFGAXLCSNDRI-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
35	CHEMBL4173626	CCc1ccc(-c2cc(NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	CCc1ccc(-c2cc(NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	USIHDOVZZRFRAY-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
36	CHEMBL4212218	COc1cc2c(NC3CCC34CCN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCC34CCN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	MJGRJTGEKSYWOA-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
37	CHEMBL4215377	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(Cl)c(OCCCN4CCCC4)cc3n2)o1	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(Cl)c(OCCCN4CCCC4)cc3n2)o1	FKRRYTPCUFOKGU-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
38	CHEMBL4217332	COc1cc2c(NC3CCN(C)C(=O)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)C(=O)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	FDUSNRNFGPEONK-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
39	CHEMBL1489	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	NMUSYJAQQFHJEW-KVTDHHQDSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
43	CHEMBL2385821	Cc1cc(Nc2cccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)c2)nc(N)n1	Cc1cc(Nc2cccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)c2)nc(N)n1	WSJHXZVJUNDCKJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
44	CHEMBL4170114	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	RLQLKZTYUYIWDB-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
46	CHEMBL4162911	COc1cc2c(NC3CCN(C4CC4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C4CC4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	BIJYNDLTSDYKHJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
47	CHEMBL4203655	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CCNCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CCNCC1	KHOPFPLBBABLFV-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
48	CHEMBL4207526	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN(C)C)cc3n2)o1	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN(C)C)cc3n2)o1	AJHIQURHJXOCCP-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
49	CHEMBL4212380	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCOCC4)cc3n2)o1	CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCOCC4)cc3n2)o1	AXEYMLVZZMEKPO-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
50	CHEMBL4208425	COc1cc2c(NCC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	COc1cc2c(NCC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	XPAFSYNIRYKCNP-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
51	CHEMBL4173668	COc1cc2c(NC3CCN(C)CC3)cc(C3=CCCCC3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(C3=CCCCC3)nc2cc1OCCCN1CCCC1	QYKHEFBHQZYBTF-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
52	CHEMBL4210910	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C1CC1)C2	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C1CC1)C2	DECOEZZMNFELHT-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
53	CHEMBL4209267	COc1cc2c(NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	COc1cc2c(NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	BXULHRSCDMZOIM-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
54	CHEMBL297453	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	WMBWREPUVVBILR-WIYYLYMNSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
55	CHEMBL4159604	COc1cc2c(NC3CCN(C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1	FACDBZNPDREQDS-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
56	CHEMBL4175132	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3C)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3C)nc2cc1OCCCN1CCCC1	ZFYXXFFBVZGXLX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
57	CHEMBL4203186	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(C#N)c(OCCCN4CCCC4)cc3n2)o1	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(C#N)c(OCCCN4CCCC4)cc3n2)o1	CTLBSSWLVZIRCU-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
59	CHEMBL4217747	COc1cc2c(NCc3ccccc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NCc3ccccc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	SXUDOJDVYKVXEH-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
60	CHEMBL4159955	CCNCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	CCNCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	GWWFCFPTRJUJIM-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
61	CHEMBL4162206	COc1cc2c(NC3CCN(C(C)C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C(C)C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1	FQOJFAZVDGPADJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
62	CHEMBL4210432	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(O)c(OCCCN4CCCC4)cc3n2)o1	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(O)c(OCCCN4CCCC4)cc3n2)o1	ZDTIJWKWNYJIAB-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
63	CHEMBL3126651	O=C(Nc1ccc(Nc2ccnc3ccccc23)cc1)c1ccc(Nc2ccnc3ccccc23)cc1	O=C(Nc1ccc(Nc2ccnc3ccccc23)cc1)c1ccc(Nc2ccnc3ccccc23)cc1	MIVZAUUBMZYYER-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
64	CHEMBL4208522	COc1cc2c(NC(C)(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC(C)(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	NZIRMQGNRYJHOB-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
65	CHEMBL4202651	COc1cc2nc(-c3ccc(C)o3)cc(NC3CCN(C)CC3)c2cc1OC	COc1cc2nc(-c3ccc(C)o3)cc(NC3CCN(C)CC3)c2cc1OC	JJGQHCGDEBOMSO-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
66	CHEMBL4175084	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(CO)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(CO)o3)nc2cc1OCCCN1CCCC1	JHSAFANTCQXEFJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
67	CHEMBL4205107	COc1cc2c(NCCO)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NCCO)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	PCKQRGGTJLXKRR-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
69	CHEMBL560106	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	XYVFEOCPVYQHOJ-SQGKICNMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
70	CHEMBL4207483	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCC(F)C1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCC(F)C1	UTZHPLKCVFCHET-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
71	CHEMBL2336409	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1	QSYLKMKIVWJAAK-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
73	CHEMBL4162967	COc1cc2c(NC3CCN(C)CC3)cc(N3CCN(C)CC3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(N3CCN(C)CC3)nc2cc1OCCCN1CCCC1	QMIDRDYKZINKHP-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
75	CHEMBL4163369	COc1cc2c(NC3CCN(C)CC3)cc(C)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(C)nc2cc1OCCCN1CCCC1	DKHFXUKOWLZXHX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
76	CHEMBL2349526	Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	DIULHULFPSIBAK-TWBCTODHSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
77	CHEMBL4177036	COc1cc2c(NC3CCN(C)CC3)cc(C3=CCOCC3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(C3=CCOCC3)nc2cc1OCCCN1CCCC1	KUEVRQLZRITNEE-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
78	CHEMBL4210955	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3ccc(OCCCN4CCCC4)cc3n2)o1	Cc1ccc(-c2cc(NC3CCN(C)CC3)c3ccc(OCCCN4CCCC4)cc3n2)o1	UWTQREDSTMKGMT-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
79	CHEMBL4161915	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccn(C)n3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccn(C)n3)nc2cc1OCCCN1CCCC1	PZPUORZZMLOXMT-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
80	CHEMBL4173662	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccoc3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccoc3)nc2cc1OCCCN1CCCC1	GXAJALCTHNRXSM-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
81	CHEMBL4211622	COc1cc2c(NC3CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	QVVLBWWKUFURSQ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
82	CHEMBL4166777	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(-c4ccccc4)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(-c4ccccc4)o3)nc2cc1OCCCN1CCCC1	RYMHIXZCYXVNES-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
83	CHEMBL4174724	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3)nc2cc1OCCCN1CCCC1	HUZMGEQBIBBTAM-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
84	CHEMBL4174677	COc1cc2c(NC3CCN(C)CC3)cc(-c3cc4ccccc4o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3cc4ccccc4o3)nc2cc1OCCCN1CCCC1	GYWSZPPSPBAWHB-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
85	CHEMBL4212375	CNC(=O)CCNc1cc(-c2ccc(C)o2)nc2cc(OCCCN3CCCC3)c(OC)cc12	CNC(=O)CCNc1cc(-c2ccc(C)o2)nc2cc(OCCCN3CCCC3)c(OC)cc12	BAJGTIKDJKXLMX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
