Algorithm,Version,Balanced Accuracy,Sensitivity,Specificity,True Positives,False Positives,F-measure,AUC
Random Forest,Max,0.87,0.81,0.93,4.7,1.4,0.79,0.87
Random Forest,Mean,0.9,0.85,0.95,4.6,1.0,0.83,0.9
Support Vector Machines,Max,0.85,0.77,0.93,4.5,1.4,0.76,0.85
Support Vector Machines,Mean,0.91,0.87,0.94,4.7,1.2,0.83,0.91
Naive Bayes,Max,0.87,0.81,0.93,4.7,1.4,0.79,0.87
Naive Bayes,Mean,0.89,0.85,0.94,4.6,1.3,0.8,0.89
XGradientBoostTree,Max,0.84,0.76,0.93,4.4,1.4,0.76,0.84
XGradientBoostTree,Mean,0.85,0.75,0.95,4.1,1.0,0.75,0.85
Artificial Neural Network,Max,0.86,0.78,0.94,4.5,1.3,0.77,0.86
Artificial Neural Network,Mean,0.88,0.83,0.93,4.5,1.4,0.78,0.88
