Algorithm,Version,Balanced Accuracy,Sensitivity,Specificity,True Positives Ratio,False Positives Ratio,F-measure,AUC
Random Forest,Max,0.83,0.9,0.76,0.78,0.22,0.83,0.83
Random Forest,Mean,0.89,0.94,0.85,0.84,0.16,0.88,0.89
Support Vector Machines,Max,0.8,0.83,0.78,0.78,0.22,0.79,0.8
Support Vector Machines,Mean,0.9,0.92,0.88,0.86,0.14,0.89,0.9
Naive Bayes,Max,0.79,0.83,0.75,0.77,0.23,0.78,0.79
Naive Bayes,Mean,0.86,0.91,0.8,0.79,0.21,0.84,0.86
XGradientBoostTree,Max,0.79,0.8,0.77,0.78,0.22,0.78,0.79
XGradientBoostTree,Mean,0.89,0.91,0.86,0.85,0.15,0.87,0.89
Artificial Neural Network,Max,0.79,0.83,0.76,0.76,0.24,0.79,0.79
Artificial Neural Network,Mean,0.87,0.88,0.86,0.85,0.15,0.86,0.87
