Algorithm,Version,Balanced Accuracy,Sensitivity,Specificity,True Positives Ratio,False Positives Ratio,F-measure,AUC
Random Forest,Max,0.86,0.8,0.93,0.83,0.17,0.79,0.86
Random Forest,Mean,0.91,0.87,0.95,0.82,0.18,0.83,0.91
Support Vector Machines,Max,0.87,0.81,0.93,0.81,0.19,0.8,0.87
Support Vector Machines,Mean,0.89,0.83,0.94,0.79,0.21,0.8,0.89
Naive Bayes,Max,0.85,0.78,0.93,0.79,0.21,0.77,0.85
Naive Bayes,Mean,0.88,0.83,0.93,0.76,0.24,0.78,0.88
XGradientBoostTree,Max,0.85,0.76,0.94,0.81,0.19,0.77,0.85
XGradientBoostTree,Mean,0.87,0.81,0.94,0.77,0.23,0.78,0.87
Artificial Neural Network,Max,0.86,0.78,0.94,0.83,0.17,0.79,0.86
Artificial Neural Network,Mean,0.88,0.83,0.94,0.77,0.23,0.79,0.88
